timestep,dashboard_timestep,public_offer_count,public_bank_count,ranked_offer_count,recommendation_count,visibility_event_count,top_bank_ids,top_product_ids,dashboard_summary,created_by
1,1,16,7,0,0,0,"B001,B003,B004,B005,B006,B007,B008","B005-P-M,B005-P-PL,B006-L,P001,P002,PL-001,SCL-001,car_loan,express_loan_B008_1,large_purchase_loan_B008_1",16 public offers from 7 banks are available for marketplace/customer comparison.,engine_fallback
2,2,25,8,0,0,3,"B001,B002,B003,B004,B005,B006,B007,B008","B005-P-M,B005-P-PL,B006-L,CL-001,P-B002-PL-PLUS,P001,P002,P003,PL-001,SCL-001",25 public offers from 8 banks are available for marketplace/customer comparison.,engine_fallback
3,3,46,8,0,0,3,"B001,B002,B003,B004,B005,B006,B007,B008","B005-P-GREEN,B005-P-M,B005-P-PL,B006-GL,B006-L,CL-001,GEL-001,P-B002-CL,P-B002-GL,P-B002-PL-PLUS",46 public offers from 8 banks are available for marketplace/customer comparison.,engine_fallback
4,4,61,8,9,4,6,"B001,B002,B003,B004,B005,B006,B007,B008","B005-P-GREEN,B005-P-M,B005-P-PL,B006-GL,B006-L,CL-001,GEL-001,P-B002-CL,P-B002-GL,P-B002-PL-PLUS",61 public offers from 8 banks are available for marketplace/customer comparison.,engine_fallback
5,5,84,8,18,4,9,"B001,B002,B003,B004,B005,B006,B007,B008","B005-P-GREEN,B005-P-M,B005-P-PL,B006-GL,B006-L,CL-001,GEL-001,P-B002-CL,P-B002-GL,P-B002-PL-PLUS",84 public offers from 8 banks are available for marketplace/customer comparison.,engine_fallback
6,6,106,8,27,8,12,"B001,B002,B003,B004,B005,B006,B007,B008","B005-P-GREEN,B005-P-M,B005-P-PL,B006-GL,B006-L,CL-001,GEL-001,P-B002-CL,P-B002-GL,P-B002-PL-PLUS",106 public offers from 8 banks are available for marketplace/customer comparison.,engine_fallback
7,7,133,8,33,14,16,"B001,B002,B003,B004,B005,B006,B007,B008","B005-P-GREEN,B005-P-M,B005-P-PL,B006-GL,B006-L,CL-001,GEL-001,P-B002-CL,P-B002-GL,P-B002-PL-PLUS",133 public offers from 8 banks are available for marketplace/customer comparison.,engine_fallback
8,8,161,8,33,14,16,"B001,B002,B003,B004,B005,B006,B007,B008","B005-P-GREEN,B005-P-M,B005-P-PL,B006-GL,B006-L,CL-001,GEL-001,P-B002-CL,P-B002-GL,P-B002-PL-PLUS",161 public offers from 8 banks are available for marketplace/customer comparison.,engine_fallback
9,9,185,8,33,14,16,"B001,B002,B003,B004,B005,B006,B007,B008","B005-P-GREEN,B005-P-M,B005-P-PL,B006-GL,B006-L,CL-001,GEL-001,P-B002-CL,P-B002-GL,P-B002-PL-PLUS",185 public offers from 8 banks are available for marketplace/customer comparison.,engine_fallback
