timestep,dashboard_timestep,public_offer_count,active_public_offer_count,offer_cap_applied,max_active_public_offers,max_active_public_offers_per_bank,offers_suppressed_by_cap,public_bank_count,ranked_offer_count,recommendation_count,visibility_event_count,top_bank_ids,top_product_ids,dashboard_summary,created_by
1,1,9,9,True,60,8,2,5,0,0,0,"B001,B002,B005,B006,B007","B006-P-1,B006-P-2,B007-P001,B007-P002,personal-loan-large,personal-loan-medium,personal_loan,personal_loan_plus",9 active public offers from 5 banks are available after cap (9 active public offers before cap).,engine_fallback
2,2,19,19,True,60,8,0,7,9,0,9,"B001,B002,B004,B005,B006,B007,B008","B004-P-1,B004-P-2,B006-P-1,B006-P-2,B006-P-3,B006-P-4,B007-P001,B007-P002,B008-P-PL-1,B008-P-PL-2",19 active public offers from 7 banks are available after cap (19 active public offers before cap).,engine_fallback
